decade,frame (verb--syntactic relation),support nouns,support noun counts,ground-truth emerging (query) nouns
1850,abandon-dobj,"['post', 'place', 'city', 'field', 'system', 'friend', 'camp', 'ground', 'home', 'defence', 'line', 'fort', 'ship', 'course', 'house', 'habit']","[1457, 1449, 1194, 795, 694, 560, 533, 485, 444, 439, 431, 410, 387, 376, 357, 310]","['car', 'equipment', 'goal', 'site', 'area', 'weapon', 'action', 'control', 'fight', 'support']"
1850,accompany-pobj_prep.by,"['friend', 'officer', 'wife', 'son', 'brother', 'person', 'train', 'lady', 'dog', 'man', 'body', 'queen', 'mother', 'guard', 'soldier', 'escort']","[3310, 1927, 1883, 1871, 1461, 826, 802, 713, 706, 669, 651, 620, 588, 581, 565, 544]","['adult', 'envelope', 'level', 'failure', 'decline', 'wave', 'shift', 'string', 'bodyguard', 'aide']"
1850,acquaint-pobj_prep.with,"['subject', 'art', 'person', 'man', 'people', 'family', 'world', 'author', 'life', 'habit', 'lady', 'power', 'system', 'place', 'heart', 'rule']","[2767, 1728, 1308, 1171, 1045, 1004, 1004, 810, 783, 776, 705, 650, 626, 615, 506, 483]","['personality', 'worker', 'background', 'tool', 'patient', 'area', 'resident', 'teacher', 'home', 'pupil']"
1850,act-pobj_prep.as,"['interpreter', 'guide', 'mediator', 'judge', 'secretary', 'president', 'master', 'minister', 'officer', 'clerk', 'man', 'body', 'representative', 'justice', 'assistant', 'umpire']","[1838, 1832, 1166, 1130, 938, 625, 585, 547, 473, 467, 456, 450, 422, 370, 352, 352]","['bridge', 'middleman', 'host', 'filter', 'link', 'buffer', 'mechanism', 'model', 'brake', 'center']"
1850,add-pobj_prep.to,"['beauty', 'stock', 'church', 'power', 'comfort', 'weight', 'collection', 'store', 'library', 'glory', 'life', 'water', 'security', 'fire', 'terror', 'authority']","[2203, 2108, 1499, 1127, 1123, 807, 753, 655, 613, 559, 529, 475, 402, 375, 300, 261]","['diet', 'pan', 'medium', 'sauce', 'file', 'pot', 'model', 'tube', 'set', 'base']"
1850,address-dobj,"['people', 'assembly', 'house', 'king', 'person', 'court', 'friend', 'man', 'lady', 'prayer', 'father', 'companion', 'child', 'crowd', 'chair', 'officer']","[2849, 2026, 1940, 1204, 816, 755, 696, 560, 529, 518, 474, 403, 385, 384, 365, 362]","['source', 'area', 'goal', 'gap', 'set', 'barrier', 'range', 'objective', 'point', 'level']"
1850,address-pobj_prep.to,"['friend', 'king', 'people', 'person', 'lady', 'editor', 'church', 'emperor', 'father', 'son', 'man', 'ear', 'officer', 'secretary', 'house', 'brother']","[1265, 1118, 1056, 957, 597, 424, 401, 390, 350, 331, 329, 324, 319, 313, 313, 301]","['boy', 'crowd', 'recipient', 'registrar', 'worker', 'adult', 'headquarters', 'girl', 'bureau', 'doctor']"
1850,adjoin-dobj,"['apartment', 'building', 'chamber', 'chapel', 'church', 'city', 'garden', 'hall', 'house', 'library', 'palace', 'road', 'room', 'side', 'wall', 'yard']","[206, 204, 239, 374, 1027, 305, 238, 400, 1319, 201, 452, 337, 755, 213, 354, 226]","['plant', 'surface', 'camp', 'center', 'home', 'homestead', 'bar', 'valley', 'factory', 'area']"
1850,admit-dobj,"['light', 'person', 'vessel', 'authority', 'ship', 'man', 'justice', 'water', 'body', 'finger', 'stranger', 'power', 'ray', 'boat', 'carriage', 'people']","[2202, 1630, 1269, 695, 604, 586, 488, 476, 466, 430, 361, 353, 319, 284, 273, 269]","['individual', 'china', 'black', 'resident', 'pupil', 'life', 'worker', 'white', 'girl', 'bar']"
1850,adopt-dobj,"['child', 'construction', 'costume', 'course', 'dress', 'form', 'habit', 'institution', 'life', 'line', 'measure', 'rule', 'son', 'step', 'style', 'system']","[605, 280, 289, 5854, 459, 1665, 1040, 214, 411, 1104, 14743, 1297, 672, 304, 1495, 5435]","['frame', 'framework', 'level', 'stand', 'goal', 'control', 'mechanism', 'conformation', 'image', 'baby']"
1850,adorn-dobj,"['wall', 'person', 'city', 'church', 'life', 'temple', 'palace', 'house', 'bank', 'head', 'humanity', 'hall', 'garden', 'court', 'world', 'station']","[1061, 1002, 887, 847, 803, 606, 452, 437, 349, 327, 324, 301, 290, 289, 277, 273]","['action', 'door', 'office', 'facade', 'corner', 'finger', 'idol', 'park', 'cover', 'tower']"
1850,adorn-pobj_prep.with,"['flower', 'statue', 'column', 'tree', 'stone', 'sculpture', 'pilaster', 'pillar', 'building', 'fountain', 'pearl', 'beauty', 'garden', 'crown', 'gem', 'tower']","[1569, 1260, 1165, 856, 789, 767, 502, 484, 413, 408, 389, 335, 318, 283, 260, 258]","['seal', 'sign', 'strip', 'tile', 'candle', 'bird', 'coat', 'panel', 'pendant', 'mask']"
1850,affect-dobj,"['heart', 'life', 'system', 'body', 'person', 'organ', 'power', 'head', 'individual', 'church', 'class', 'people', 'man', 'form', 'subject', 'style']","[2674, 1711, 1237, 1007, 934, 885, 786, 632, 565, 501, 500, 411, 404, 384, 315, 296]","['worker', 'human', 'mechanism', 'range', 'resistance', 'student', 'control', 'male', 'employee', 'cell']"
1850,afford-dobj,"['shelter', 'prospect', 'ground', 'material', 'room', 'security', 'food', 'support', 'light', 'shade', 'accommodation', 'scope', 'retreat', 'subject', 'sport', 'place']","[2624, 2611, 1751, 1492, 1264, 1251, 1242, 1147, 1082, 960, 955, 858, 834, 827, 812, 762]","['house', 'clothes', 'apartment', 'fare', 'car', 'attorney', 'lawyer', 'equipment', 'housing', 'control']"
1850,appear-nsubj,"['christ', 'man', 'enemy', 'sun', 'light', 'star', 'person', 'king', 'body', 'form', 'sign', 'shepherd', 'power', 'people', 'book', 'face']","[2639, 1600, 1488, 1439, 1089, 1053, 764, 754, 721, 690, 644, 602, 490, 479, 457, 393]","['area', 'maid', 'level', 'screen', 'window', 'material', 'cell', 'menu', 'gap', 'box']"
1850,appear-pobj_prep.in,"['form', 'world', 'print', 'light', 'arm', 'person', 'court', 'place', 'dress', 'paper', 'street', 'course', 'field', 'glory', 'newspaper', 'case']","[3138, 2503, 2234, 1901, 1730, 1697, 1697, 1632, 1000, 954, 843, 737, 736, 695, 632, 628]","['sequence', 'study', 'formula', 'file', 'source', 'medium', 'model', 'cell', 'blood', 'film']"
1850,apply-pobj_prep.to,"['case', 'study', 'person', 'subject', 'body', 'christ', 'surface', 'skin', 'man', 'court', 'individual', 'art', 'king', 'class', 'head', 'point']","[5806, 3028, 2775, 2216, 1525, 1492, 1382, 1243, 1017, 857, 851, 753, 708, 664, 631, 536]","['employee', 'circuit', 'human', 'area', 'cell', 'model', 'patient', 'site', 'level', 'worker']"
1850,appoint-dobj,"['officer', 'successor', 'commissioner', 'person', 'judge', 'minister', 'secretary', 'general', 'place', 'deputy', 'lieutenant', 'commander', 'master', 'president', 'clerk', 'receiver']","[3679, 2530, 2273, 1929, 1405, 1316, 1094, 1014, 962, 910, 624, 609, 561, 444, 430, 400]","['employee', 'registrar', 'replacement', 'principal', 'subordinate', 'somebody', 'editor', 'candidate', 'panel', 'conservator']"
1850,appoint-pobj_prep.by,"['king', 'crown', 'court', 'president', 'authority', 'church', 'christ', 'assembly', 'emperor', 'house', 'people', 'commissioner', 'sovereign', 'father', 'queen', 'board']","[2822, 2117, 1250, 854, 699, 634, 618, 607, 496, 453, 336, 332, 287, 276, 213, 208]","['office', 'representative', 'ruler', 'chamber', 'principal', 'bush', 'cabinet', 'side', 'bank', 'manager']"
1850,approach-dobj,"['shore', 'place', 'city', 'house', 'coast', 'door', 'spot', 'table', 'person', 'throne', 'bed', 'wall', 'gate', 'subject', 'point', 'pole']","[3126, 2394, 2281, 2266, 1732, 1573, 1464, 1222, 1158, 1006, 1006, 948, 920, 864, 828, 808]","['intersection', 'area', 'bench', 'car', 'counter', 'market', 'people', 'target', 'equilibrium', 'system']"
1850,arise-pobj_prep.from,"['source', 'action', 'habit', 'system', 'power', 'form', 'mixture', 'body', 'water', 'surface', 'subject', 'weight', 'heart', 'earth', 'side', 'fire']","[2330, 1184, 747, 696, 514, 510, 458, 443, 432, 385, 355, 341, 301, 297, 289, 262]","['control', 'cord', 'shift', 'nucleus', 'site', 'level', 'model', 'layer', 'mechanism', 'set']"
1850,arm-pobj_prep.with,"['sword', 'bow', 'power', 'musket', 'gun', 'spear', 'weapon', 'club', 'lance', 'authority', 'pistol', 'pike', 'scythe', 'rifle', 'claw', 'stick']","[2880, 2557, 2483, 2244, 1887, 1874, 1632, 1477, 1290, 1229, 1082, 1045, 944, 867, 836, 613]","['revolver', 'map', 'machete', 'pick', 'missile', 'tool', 'torpedo', 'shotgun', 'bomb', 'camera']"
1850,arrive-nsubj,"['boat', 'body', 'doctor', 'enemy', 'friend', 'guest', 'king', 'mail', 'man', 'officer', 'ship', 'spring', 'stranger', 'successor', 'traveller', 'vessel']","[391, 296, 252, 228, 304, 437, 622, 211, 361, 237, 966, 252, 286, 206, 245, 874]","['baby', 'patient', 'student', 'car', 'date', 'pulse', 'bus', 'girl', 'truck', 'ambulance']"
1850,arrive-pobj_prep.at,"['place', 'house', 'point', 'spot', 'gate', 'home', 'door', 'city', 'camp', 'foot', 'port', 'top', 'inn', 'station', 'bottom', 'mouth']","[6406, 3091, 2941, 1728, 1504, 1294, 1154, 1127, 1044, 961, 915, 868, 771, 682, 639, 630]","['apartment', 'formula', 'set', 'store', 'balance', 'restaurant', 'airport', 'model', 'area', 'center']"
1850,ascend-dobj,"['throne', 'hill', 'mountain', 'step', 'bank', 'pulpit', 'side', 'ridge', 'slope', 'tree', 'valley', 'tower', 'rock', 'peak', 'scale', 'ground']","[14303, 5812, 4558, 2310, 957, 950, 764, 556, 421, 403, 359, 335, 309, 299, 289, 273]","['level', 'sequence', 'vein', 'system', 'circle', 'fiber', 'fig', 'incline', 'rope', 'knoll']"
1850,ask-dobj,"['father', 'fish', 'friend', 'hand', 'heart', 'help', 'king', 'lady', 'life', 'man', 'mother', 'people', 'person', 'prayer', 'wife', 'woman']","[1363, 530, 687, 487, 321, 537, 525, 429, 332, 1277, 492, 288, 360, 240, 291, 318]","['individual', 'family', 'guy', 'operator', 'user', 'student', 'employee', 'class', 'nurse', 'subject']"
1850,assist-dobj,"['memory', 'king', 'friend', 'brother', 'father', 'enemy', 'mother', 'person', 'reader', 'man', 'power', 'action', 'people', 'master', 'student', 'study']","[1338, 1172, 870, 727, 530, 471, 468, 458, 436, 429, 424, 415, 388, 349, 316, 296]","['worker', 'patient', 'nurse', 'school', 'device', 'employee', 'manager', 'physician', 'user', 'system']"
1850,assume-dobj,"['form', 'power', 'office', 'authority', 'rein', 'place', 'habit', 'crown', 'dress', 'garb', 'purple', 'disguise', 'style', 'cross', 'arm', 'station']","[14351, 3484, 2996, 2415, 1497, 1200, 1063, 985, 851, 770, 715, 654, 639, 627, 504, 403]","['source', 'symmetry', 'return', 'equilibrium', 'connection', 'formation', 'mechanism', 'world', 'system', 'set']"
1850,attach-pobj_prep.to,"['church', 'person', 'house', 'office', 'side', 'court', 'wall', 'family', 'soil', 'establishment', 'body', 'surface', 'king', 'place', 'life', 'institution']","[2643, 2304, 2110, 1768, 1542, 1321, 1050, 1012, 945, 891, 813, 776, 709, 699, 681, 674]","['node', 'center', 'device', 'headquarters', 'floor', 'syringe', 'site', 'network', 'computer', 'bond']"
1850,attack-dobj,"['enemy', 'city', 'fort', 'place', 'camp', 'post', 'house', 'man', 'line', 'body', 'castle', 'person', 'ship', 'fortress', 'king', 'guard']","[7916, 1879, 1779, 1567, 1555, 1046, 912, 888, 851, 817, 719, 655, 607, 562, 526, 517]","['aircraft', 'china', 'target', 'area', 'center', 'structure', 'base', 'harbor', 'source', 'human']"
1850,attend-dobj,"['school', 'court', 'church', 'king', 'house', 'ministry', 'course', 'arm', 'person', 'assembly', 'place', 'prayer', 'life', 'class', 'birth', 'case']","[6599, 3640, 3055, 1930, 1655, 1367, 1353, 1169, 1144, 1047, 1038, 846, 845, 743, 627, 621]","['oxford', 'centre', 'round', 'grade', 'screening', 'high', 'theater', 'conservatory', 'center', 'picnic']"
1850,attend-pobj_prep.by,"['officer', 'train', 'guard', 'person', 'body', 'friend', 'lady', 'escort', 'child', 'crowd', 'follower', 'suite', 'son', 'court', 'student', 'woman']","[1238, 1231, 1200, 1055, 765, 749, 539, 514, 501, 498, 437, 403, 368, 341, 337, 335]","['black', 'employee', 'author', 'midwife', 'manager', 'scientist', 'white', 'worker', 'resident', 'bodyguard']"
1850,avoid-dobj,"['action', 'rock', 'snare', 'enemy', 'subject', 'contact', 'fire', 'place', 'measure', 'ruin', 'light', 'road', 'crowd', 'source', 'shock', 'fall']","[1262, 671, 660, 637, 631, 567, 503, 502, 444, 349, 343, 317, 285, 245, 231, 224]","['control', 'level', 'area', 'child', 'predator', 'artifact', 'threat', 'surgery', 'alcohol', 'bubble']"
1850,be-nsubj,"['man', 'case', 'person', 'people', 'life', 'power', 'christ', 'father', 'heart', 'body', 'water', 'king', 'world', 'place', 'child', 'house']","[124932, 68619, 58855, 55286, 48403, 45736, 38223, 35738, 33648, 32254, 30896, 30838, 30675, 28286, 27232, 25923]","['computer', 'switch', 'chip', 'dad', 'surgery', 'turnover', 'scientist', 'kid', 'server', 'employee']"
1850,be-pobj_prep.at,"['hand', 'home', 'head', 'bottom', 'disposal', 'point', 'house', 'school', 'place', 'court', 'door', 'dinner', 'table', 'foot', 'top', 'side']","[35277, 18969, 14507, 5228, 4140, 3793, 3203, 3022, 2989, 2789, 2577, 2259, 1869, 1729, 1631, 1558]","['equilibrium', 'library', 'lunch', 'beach', 'headquarters', 'peak', 'airport', 'club', 'site', 'crossroad']"
1850,be-pobj_prep.by,"['side', 'hand', 'birth', 'christ', 'man', 'power', 'people', 'light', 'person', 'author', 'authority', 'action', 'appointment', 'water', 'enemy', 'king']","[1535, 1096, 997, 768, 498, 494, 492, 444, 440, 407, 387, 341, 313, 301, 294, 279]","['token', 'date', 'train', 'race', 'clock', 'car', 'teacher', 'essence', 'mail', 'window']"
1850,be-pobj_prep.for,"['man', 'sake', 'life', 'person', 'glory', 'support', 'people', 'king', 'child', 'defence', 'beauty', 'woman', 'book', 'world', 'power', 'soul']","[4344, 3667, 1957, 1089, 955, 902, 849, 766, 661, 588, 533, 522, 504, 441, 375, 366]","['control', 'range', 'kid', 'adult', 'white', 'male', 'lunch', 'bit', 'worker', 'baby']"
1850,be-pobj_prep.from,"['birth', 'body', 'centre', 'earth', 'father', 'foot', 'hand', 'heart', 'home', 'man', 'pen', 'place', 'point', 'source', 'sun', 'world']","[278, 498, 235, 434, 219, 2308, 667, 209, 2271, 295, 1136, 306, 300, 305, 328, 470]","['area', 'study', 'office', 'vessel', 'background', 'university', 'animal', 'center', 'site', 'library']"
1850,be-pobj_prep.in,"['power', 'case', 'hand', 'habit', 'place', 'world', 'proportion', 'house', 'measure', 'heart', 'christ', 'life', 'form', 'contact', 'room', 'man']","[55350, 32510, 28925, 26430, 24292, 23431, 13587, 12774, 12690, 9794, 9458, 9115, 8642, 7727, 7493, 7300]","['bathroom', 'classroom', 'lead', 'bracket', 'sequence', 'scope', 'film', 'swing', 'grip', 'setting']"
1850,be-pobj_prep.of,"['course', 'world', 'date', 'family', 'form', 'weight', 'church', 'race', 'class', 'authority', 'stone', 'heart', 'wood', 'blood', 'cast', 'descent']","[10732, 7548, 5841, 5310, 5225, 3997, 3974, 3516, 3241, 3138, 2632, 2367, 2340, 1996, 1757, 1749]","['scale', 'fig', 'vintage', 'storey', 'movement', 'background', 'gauge', 'area', 'resistance', 'concrete']"
1850,be-pobj_prep.on,"['side', 'point', 'board', 'guard', 'earth', 'subject', 'fire', 'ground', 'road', 'spot', 'foot', 'shore', 'level', 'scale', 'watch', 'hand']","[28914, 17714, 8033, 7212, 6442, 5112, 4978, 3958, 3950, 3721, 3310, 3106, 2616, 2510, 2082, 2046]","['diet', 'train', 'display', 'tv', 'call', 'boat', 'television', 'screen', 'market', 'phone']"
1850,be-pobj_prep.to,"['people', 'man', 'foot', 'body', 'person', 'world', 'soul', 'house', 'point', 'life', 'king', 'minister', 'child', 'heart', 'ear', 'father']","[1681, 1628, 1219, 1121, 715, 627, 509, 507, 472, 469, 417, 386, 375, 373, 358, 339]","['scientist', 'independent', 'university', 'door', 'failure', 'camp', 'china', 'patient', 'adult', 'story']"
1850,be-pobj_prep.under,"['control', 'water', 'power', 'arm', 'restraint', 'roof', 'hand', 'foot', 'authority', 'sun', 'seal', 'rule', 'sail', 'ground', 'yoke', 'cover']","[4264, 1632, 1387, 1040, 1005, 915, 690, 646, 626, 604, 524, 510, 501, 449, 443, 385]","['umbrella', 'glass', 'aegis', 'study', 'star', 'heel', 'ruler', 'thumb', 'skin', 'threat']"
1850,be-pobj_prep.with,"['christ', 'child', 'father', 'man', 'people', 'king', 'friend', 'heart', 'son', 'person', 'family', 'power', 'body', 'woman', 'church', 'justice']","[6486, 4013, 1393, 1185, 1053, 1035, 859, 518, 442, 441, 435, 428, 403, 360, 347, 337]","['adult', 'baby', 'grandmother', 'guy', 'student', 'memory', 'kid', 'peer', 'president', 'dad']"
